log_PAX	DateOfDeparture	Holiday_cleaned	Weekday	WeeksToDeparture	std_wtd	Departure	Arrival	Month	Day	Year
continuous	string	string	string	continuous	continuous	ATL BOS CLT DEN DFW DTW EWR IAH JFK LAS LAX LGA MCO MIA MSP ORD PHL PHX SEA SFO	ATL BOS CLT DEN DFW DTW EWR IAH JFK LAS LAX LGA MCO MIA MSP ORD PHL PHX SEA SFO	continuous	continuous	continuous
class	meta	meta	meta							
12.3313	2012-06-19	Juneteenth	Tuesday	12.875	9.81265	ORD	DFW	6	19	2012
10.7752	2012-09-10	Regular	Monday	14.2857	9.46673	LAS	DEN	9	10	2012
11.0832	2012-10-05	Regular	Friday	10.8636	9.03588	DEN	LAX	10	5	2012
11.1693	2011-10-09	Regular	Sunday	11.48	7.9902	ATL	ORD	10	9	2011
11.2694	2012-02-21	Regular	Tuesday	11.45	9.51716	DEN	SFO	2	21	2012
12.0736	2013-01-22	Regular	Tuesday	10.3636	8.23202	ATL	MCO	1	22	2013
11.1739	2011-10-20	Regular	Thursday	15.2667	9.80828	SFO	LAS	10	20	2011
9.59995	2012-01-28	Regular	Saturday	8.58824	6.16501	EWR	ORD	1	28	2012
9.17565	2012-05-27	Regular	Sunday	10.2381	6.60988	ATL	CLT	5	27	2012
10.7343	2013-02-22	Regular	Friday	8.29412	5.54262	ATL	DEN	2	22	2013
10.7694	2012-04-25	Regular	Wednesday	12.6	9.7254	ATL	MSP	4	25	2012
12.3363	2013-01-31	Regular	Thursday	8.93333	9.40719	ORD	EWR	1	31	2013
10.2673	2012-06-23	Regular	Saturday	13.6296	9.17835	IAH	LAX	6	23	2012
12.6676	2011-09-12	Regular	Monday	12.8077	8.12906	LAX	ORD	9	12	2011
12.8791	2012-11-15	Regular	Thursday	9.9	6.60861	DFW	ORD	11	15	2012
10.5613	2012-03-04	Regular	Sunday	10.5652	7.59082	ATL	DEN	3	4	2012
10.6498	2012-01-10	Regular	Tuesday	13.76	9.95523	ORD	PHX	1	10	2012
11.7576	2013-02-13	Regular	Wednesday	7	4.47214	SEA	SFO	2	13	2013
10.5154	2012-06-15	Regular	Friday	12.875	9.66532	EWR	MCO	6	15	2012
10.9142	2012-02-03	Regular	Friday	9.84211	7.81923	ATL	MSP	2	3	2012
10.9196	2013-02-06	Regular	Wednesday	10.5238	7.13876	SFO	DEN	2	6	2013
11.2516	2011-12-02	Regular	Friday	9.83333	8.30485	ORD	DTW	12	2	2011
10.2135	2012-08-27	Regular	Monday	16.069	10.3473	JFK	MIA	8	27	2012
11.3644	2012-04-16	Regular	Monday	6.15385	4.18023	PHL	DFW	4	16	2012
11.7405	2012-11-12	Regular	Monday	11	8.71176	EWR	BOS	11	12	2012
11.5524	2011-09-08	Regular	Thursday	8.68421	6.70035	ATL	PHL	9	8	2011
11.4019	2012-10-24	Regular	Wednesday	14.0357	8.97107	LAS	JFK	10	24	2012
12.1135	2012-04-16	Regular	Monday	8.13333	6.28907	ORD	EWR	4	16	2012
11.5294	2012-03-14	Regular	Wednesday	8.17647	6.6166	PHL	ATL	3	14	2012
10.6249	2012-07-24	Regular	Tuesday	13.96	10.922	EWR	SFO	7	24	2012
9.76584	2011-11-19	Regular	Saturday	9.52632	6.65306	SFO	ATL	11	19	2011
10.6374	2012-05-02	Regular	Wednesday	13.8519	9.24747	JFK	MCO	5	2	2012
9.89054	2013-03-04	Regular	Monday	13	8.88351	MIA	JFK	3	4	2013
9.75589	2012-04-28	Regular	Saturday	7.625	4.96488	SEA	ORD	4	28	2012
11.1219	2012-08-31	Regular	Friday	17.6216	11.6865	LAS	JFK	8	31	2012
10.2673	2012-02-11	Regular	Saturday	13.7895	13.227	MIA	LGA	2	11	2012
11.0436	2013-01-17	Regular	Thursday	8.16667	6.22377	DTW	ATL	1	17	2013
11.4019	2012-08-01	Regular	Wednesday	10.65	9.83696	ORD	DTW	8	1	2012
12.793	2012-10-13	Regular	Saturday	17	11.2173	LAX	JFK	10	13	2012
12.3086	2012-08-02	Regular	Thursday	16.0333	11.6219	SFO	ORD	8	2	2012
12.3438	2012-08-16	Regular	Thursday	18.4848	13.4957	ORD	SFO	8	16	2012
11.927	2012-03-21	Regular	Wednesday	7.8	6.03798	BOS	ORD	3	21	2012
10.9929	2012-09-04	Regular	Tuesday	13	9.33437	DEN	SEA	9	4	2012
11.5938	2012-07-12	Regular	Thursday	12.0909	9.23198	BOS	EWR	7	12	2012
7.78513	2012-01-07	Regular	Saturday	5.54545	4.22761	PHL	BOS	1	7	2012
10.327	2012-09-01	Labor Day Weekend	Saturday	13.1667	9.95934	LAX	EWR	9	1	2012
12.0621	2011-12-12	Regular	Monday	10.6316	9.9175	ATL	ORD	12	12	2011
