Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
HNL;Honolulu International;Honolulu;United States;US;21.333333;-157.933333;67;5856195;6252001;21.333333, -157.933333
LBL;Municipal;Liberal;United States;US;37.05;-100.966667;67;5445820;6252001;37.05, -100.966667
BGR;Bangor International Airport;Bangor;United States;US;44.8;-68.816667;67;5244626;6252001;44.8, -68.816667
CWI;Clinton;Clinton;United States;US;41.833333;-90.35;67;5773001;6252001;41.833333, -90.35
EGP;Maverick Co;Eagle Pass;United States;US;28.866667;-100.533333;67;5520677;6252001;28.866667, -100.533333
SQL;San Carlos;San Carlos;United States;US;37.483333;-122.25;67;5391760;6252001;37.483333, -122.25
SXY;Sidney;Sidney;United States;US;42.316667;-75.4;67;5699552;6252001;42.316667, -75.4
ZSH;Bus Station;Santa Fe;United States;US;1.366667;-77.033333;67;5490263;6252001;1.366667, -77.033333
ZBP;Baltimore Rail;Baltimore;United States;US;4.666667;-74.516667;67;4505716;6252001;4.666667, -74.516667
BOW;Bartow;Bartow;United States;US;27.933333;-81.783333;67;4146723;6252001;27.933333, -81.783333
JBP;Commerce Bus. Plaza;Los Angeles;United States;US;33.986667;-118.159722;67;5368361;6252001;33.986667, -118.159722
CRO;Corcoran;Corcoran;United States;US;36.1;-119.55;67;5339539;6252001;36.1, -119.55
LAW;Municipal;Lawton;United States;US;34.566667;-98.416667;67;4998956;6252001;34.566667, -98.416667
ECA;Emmet County Airport;East Tawas;United States;US;44.266667;-83.483333;67;4991692;6252001;44.266667, -83.483333
PVD;T. F. Green Airport;Providence;United States;US;41.733333;-71.433333;67;5780020;6252001;41.733333, -71.433333
EDW;Edwards AFB;Edwards AFB;United States;US;34.9;-117.883333;67;\N;6252001;34.9, -117.883333
CMH;Port Columbus Intl;Columbus;United States;US;40.0;-82.883333;67;5645893;6252001;40.0, -82.883333
POY;Powell;Powell;United States;US;44.866667;-108.8;67;5835606;6252001;44.866667, -108.8
OMK;Municipal;Omak;United States;US;48.4;-119.533333;67;5805734;6252001;48.4, -119.533333
KEB;Nanwalek;Nanwalek;United States;US;59.366667;-151.916667;67;\N;6252001;59.366667, -151.916667
TEK;Tatitlek;Tatitlek;United States;US;41.633333;24.95;67;\N;6252001;41.633333, 24.95
GBD;Great Bend;Great Bend;United States;US;38.35;-98.866667;67;4272340;6252001;38.35, -98.866667
FYM;Municipal;Fayetteville;United States;US;35.15;-86.583333;67;5116968;6252001;35.15, -86.583333
KYK;Karluk;Karluk;United States;US;57.566667;-154.416667;67;\N;6252001;57.566667, -154.416667
KLW;Klawock;Klawock;United States;US;55.55;-133.1;67;\N;6252001;55.55, -133.1
LTH;Lathrop Wells;Lathrop Wells;United States;US;36.666667;-116.65;67;\N;6252001;36.666667, -116.65
DFW;Dallas/Fort Worth International;Dallas, TX;United States;US;32.896944;-97.038056;67;5722064;6252001;32.896944, -97.038056
DMN;Deming;Deming;United States;US;26.951667;108.578889;67;5464806;6252001;26.951667, 108.578889
BIX;Keesler AFB;Biloxi;United States;US;28.666667;-88.433333;67;4418478;6252001;28.666667, -88.433333
TOR;Municipal;Torrington;United States;US;51.8;-1.6;67;5841207;6252001;51.8, -1.6
RKH;Rock Hill;Rock Hill;United States;US;34.933333;-81.016667;67;5134115;6252001;34.933333, -81.016667
TNT;Dade Collier;Miami;United States;US;25.861944;-80.896944;67;5304640;6252001;25.861944, -80.896944
IKB;Wilkes County;Wilkesboro;United States;US;36.166667;-81.15;67;4499138;6252001;36.166667, -81.15
FEP;Albertus;Freeport;United States;US;42.266667;-89.583333;67;5190486;6252001;42.266667, -89.583333
FLE;Fort Lee AAF;Petersburg;United States;US;52.3;5.833333;67;5556338;6252001;52.3, 5.833333
JBS;Hacienda Bus.Park H/P;Pleasanton;United States;US;37.699722;-121.9;67;5383777;6252001;37.699722, -121.9
BBD;Curtis Field;Brady;United States;US;31.133333;-99.333333;67;4676032;6252001;31.133333, -99.333333
TBC;Tuba City;Tuba City;United States;US;13.466667;-14.2;67;5318279;6252001;13.466667, -14.2
JMS;Jamestown;Jamestown;United States;US;46.933333;-98.683333;67;5360382;6252001;46.933333, -98.683333
MCF;Mac Dill AFB;Tampa;United States;US;54.433333;23.65;67;4174757;6252001;54.433333, 23.65
PTB;Municipal;Petersburg;United States;US;37.183333;-77.516667;67;5556338;6252001;37.183333, -77.516667
EDK;El Dorado;El Dorado;United States;US;37.766667;-96.866667;67;4270863;6252001;37.766667, -96.866667
CSV;Memorial;Crossville;United States;US;35.95;-85.083333;67;4616470;6252001;35.95, -85.083333
GRE;Municipal;Greenville;United States;US;38.883333;-89.416667;67;5564488;6252001;38.883333, -89.416667
HOB;Lea County;Hobbs;United States;US;32.683333;-103.216667;67;5471578;6252001;32.683333, -103.216667
EYW;International;Key West;United States;US;24.55;-81.766667;67;4160812;6252001;24.55, -81.766667
MLT;Millinocket;Millinocket;United States;US;45.65;-68.7;67;4972220;6252001;45.65, -68.7
EMT;El Monte;El Monte;United States;US;34.1;-118.033333;67;5345743;6252001;34.1, -118.033333
JIO;Intl Heliport;Ontario;United States;US;-11.283333;-74.433333;67;5744166;6252001;-11.283333, -74.433333
LPS;Lopez Island;Lopez Island;United States;US;48.483333;-122.936111;67;\N;6252001;48.483333, -122.936111
CEV;Mettle Field;Connersville;United States;US;39.633333;-85.133333;67;4256085;6252001;39.633333, -85.133333
OAK;Oakland International Airport;Oakland;United States;US;37.716667;-122.216667;67;5378538;6252001;37.716667, -122.216667
CZF;Cape Romanzof;Cape Romanzof;United States;US;61.733333;-166.0;67;\N;6252001;61.733333, -166.0
CNK;Blosser Municipal;Concordia;United States;US;39.55;-97.65;67;5096867;6252001;39.55, -97.65
HNC;Hatteras;Hatteras;United States;US;35.216667;-75.686111;67;\N;6252001;35.216667, -75.686111
SOL;Solomon;Solomon;United States;US;64.583333;-164.3;67;4279540;6252001;64.583333, -164.3
AHT;Amchitka;Amchitka;United States;US;51.5;179.0;67;\N;6252001;51.5, 179.0
AUS;Austin-bergstrom International;Austin;United States;US;30.194444;-97.67;67;5016884;6252001;30.194444, -97.67
OXD;Miami University;Oxford;United States;US;45.733333;-63.866667;67;5130319;6252001;45.733333, -63.866667
RBY;Ruby;Ruby;United States;US;64.733333;-155.483333;67;\N;6252001;64.733333, -155.483333
WSF;Sarichef;Sarichef;United States;US;31.1;-1.383333;67;\N;6252001;31.1, -1.383333
HAX;Hatbox Field;Muskogee;United States;US;35.745833;-95.412778;1;4543338;6252001;35.745833, -95.412778
HTW;Lawrence County Airpark;Chesapeake/Huntington Wv;United States;US;42.2525;-82.494444;67;4801966;6252001;42.2525, -82.494444
GAI;Montgomery County;Gaithersburg;United States;US;39.168333;-77.166111;67;4355843;6252001;39.168333, -77.166111
SMF;Sacramento International;Sacramento, CA;United States;US;38.7;-121.616667;67;5389489;6252001;38.7, -121.616667
SKY;Griffing Sandusky;Sandusky;United States;US;41.433333;-82.7;67;5170691;6252001;41.433333, -82.7
HDA;Hidden Falls;Hidden Falls;United States;US;57.066667;-134.983333;67;\N;6252001;57.066667, -134.983333
GVT;Majors Field;Greenville;United States;US;33.133333;-96.116667;67;5564488;6252001;33.133333, -96.116667
GMV;Monument Valley;Monument Valley Gldngs;United States;US;-2.616667;152.016667;67;\N;6252001;-2.616667, 152.016667
PFC;Pacific City State;Pacific City, OH;United States;US;45.199722;-123.962222;67;5744635;6252001;45.199722, -123.962222
NBP;Battery Pk City/N. Cov;New York;United States;US;5.5;-70.483333;67;5128581;6252001;5.5, -70.483333
EFW;Municipal;Jefferson;United States;US;42.016667;-94.383333;67;5733532;6252001;42.016667, -94.383333
ZTD;Schenectady Rail;Schenectady;United States;US;50.35;21.383333;67;5136454;6252001;50.35, 21.383333
LUK;Cincinnati Municipal-Lunken Field;Cincinnati, OH;United States;US;39.103333;-84.418611;67;4508722;6252001;39.103333, -84.418611
CGF;Cuyahoga County;Cleveland;United States;US;41.5525;-81.483889;67;5248933;6252001;41.5525, -81.483889
SMD;Smith Field;Fort Wayne, IN;United States;US;41.143333;-85.152778;67;4920423;6252001;41.143333, -85.152778
STS;Sonoma County;Santa Rosa;United States;US;38.516667;-122.8;67;5490338;6252001;38.516667, -122.8
QWG;Wilgrove Air Park;Charlotte, NC;United States;US;35.213889;-80.67;67;4988584;6252001;35.213889, -80.67
LAS;Mc Carran Intl;Las Vegas;United States;US;36.083333;-115.166667;67;5506956;6252001;36.083333, -115.166667
LVM;Mission Field;Livingston;United States;US;45.666667;-110.566667;67;5663049;6252001;45.666667, -110.566667
RDU;Raleigh-durham International Airport;Raleigh/Durham, NC;United States;US;35.877778;-78.7875;67;4487042;6252001;35.877778, -78.7875
FFT;Capital City;Frankfort, KY;United States;US;38.198611;-84.906111;67;5117856;6252001;38.198611, -84.906111
SWD;Seward;Seward;United States;US;60.133333;-149.416667;67;5873776;6252001;60.133333, -149.416667
BDY;State;Bandon;United States;US;43.116667;-124.416667;67;5712417;6252001;43.116667, -124.416667
BNO;Burns;Burns;United States;US;43.583333;-118.95;67;5716833;6252001;43.583333, -118.95
BJI;Bemidji;Bemidji;United States;US;47.516667;-94.933333;67;5017822;6252001;47.516667, -94.933333
GLQ;Glennallen;Glennallen;United States;US;62.116667;-145.55;67;\N;6252001;62.116667, -145.55
GWS;Glenwood Springs;Glenwood Springs;United States;US;-32.6;27.55;67;5423092;6252001;-32.6, 27.55
TWF;Joslin Field - Magic Valley Regional;Twin Falls, ID;United States;US;42.481667;-114.487778;67;5610810;6252001;42.481667, -114.487778
PEQ;Pecos City;Pecos City;United States;US;31.4;-103.516667;67;\N;6252001;31.4, -103.516667
ENW;Kenosha Regional Airport;Kenosha;United States;US;42.583333;-87.916667;67;5258393;6252001;42.583333, -87.916667
SLB;Municipal;Storm Lake;United States;US;42.6;-95.233333;67;4877655;6252001;42.6, -95.233333
VDI;Municipal;Vidalia;United States;US;32.216667;-82.4;67;4344599;6252001;32.216667, -82.4
IKO;Nikolski AFS;Nikolski;United States;US;52.95;-168.866667;67;\N;6252001;52.95, -168.866667
VCV;Southern California Logistics;Victorville, CA;United States;US;34.5975;-117.383056;67;5406222;6252001;34.5975, -117.383056
TKL;Taku SPB;Taku Lodge;United States;US;59.783333;-1.25;67;\N;6252001;59.783333, -1.25
JRA;West 30th St Heliport;New York;United States;US;40.754444;-74.0075;67;5128581;6252001;40.754444, -74.0075
FLJ;Falls Bay;Falls Bay;United States;US;60.0325;-148.008333;67;\N;6252001;60.0325, -148.008333
HLC;Hill City;Hill City;United States;US;39.366667;-99.85;67;4272980;6252001;39.366667, -99.85
AIO;Municipal;Atlantic;United States;US;41.4;-95.016667;67;4847385;6252001;41.4, -95.016667
RBN;Fort Jefferson;Fort Jefferson;United States;US;19.833333;-72.5;67;\N;6252001;19.833333, -72.5
LIH;Lihue;Kauai Island;United States;US;21.983333;-159.35;67;\N;6252001;21.983333, -159.35
FRH;Municipal;French Lick;United States;US;38.55;-86.616667;67;4257770;6252001;38.55, -86.616667
OLH;Old Harbor SPB;Old Harbor;United States;US;57.2;-153.316667;67;\N;6252001;57.2, -153.316667
AND;Anderson;Anderson;United States;US;34.5;-82.716667;67;5558857;6252001;34.5, -82.716667
NRC;Aux Field;Crows Landing;United States;US;37.4;-121.066667;67;\N;6252001;37.4, -121.066667
BWG;Warren County;Bowling Green;United States;US;36.966667;-86.416667;67;5147968;6252001;36.966667, -86.416667
OKC;Will Rogers World Airport;Oklahoma City;United States;US;35.393056;-97.600833;67;4544349;6252001;35.393056, -97.600833
DWF;Wright AFB;Dayton;United States;US;46.233333;-83.333333;67;6545140;6252001;46.233333, -83.333333
AKI;Akiak;Akiak;United States;US;60.9;-161.233333;67;\N;6252001;60.9, -161.233333
CYS;Cheyenne;Cheyenne;United States;US;41.15;-104.8;67;5821086;6252001;41.15, -104.8
BET;Bethel Airport;Bethel;United States;US;60.783333;-161.833333;67;5880568;6252001;60.783333, -161.833333
BOS;Logan International;Boston;United States;US;42.363056;-71.0;67;4930956;6252001;42.363056, -71.0
OGD;Municipal;Ogden;United States;US;41.2;-112.016667;67;5779206;6252001;41.2, -112.016667
SRV;Stony River;Stony River;United States;US;61.783333;-156.583333;67;\N;6252001;61.783333, -156.583333
BTM;Bert Mooney Airport;Butte,;United States;US;45.954722;-112.4975;67;5858289;6252001;45.954722, -112.4975
DEC;Decatur Arpt;Decatur;United States;US;39.833333;-88.866667;67;4990524;6252001;39.833333, -88.866667
JNP;Heliport;Newport Beach;United States;US;33.6;-117.883333;67;5376890;6252001;33.6, -117.883333
GGW;International;Glasgow;United States;US;48.216667;-106.616667;67;5654320;6252001;48.216667, -106.616667
SLG;Smith Field;Siloam Springs;United States;US;36.183333;-94.533333;67;4131116;6252001;36.183333, -94.533333
CDR;Chadron;Chadron;United States;US;42.833333;-103.083333;67;5694163;6252001;42.833333, -103.083333
BGM;Greater Binghamton;Binghamton, NY;United States;US;42.208611;-75.979722;67;5109177;6252001;42.208611, -75.979722
MBY;Moberly;Moberly;United States;US;39.466667;-92.433333;67;4398730;6252001;39.466667, -92.433333
MHK;Municipal;Manhattan;United States;US;39.133333;-96.666667;67;5664535;6252001;39.133333, -96.666667
EOS;Neosho;Neosho;United States;US;36.866667;-94.366667;67;4400183;6252001;36.866667, -94.366667
ASQ;Austin;Austin;United States;US;39.5;-117.066667;67;5016884;6252001;39.5, -117.066667
GRN;Gordon;Gordon;United States;US;42.8;-102.2;67;5695713;6252001;42.8, -102.2
INR;Kincheloe AFB;Sault Ste Marie;United States;US;45.85;5.416667;67;\N;6252001;45.85, 5.416667
UMB;North Shore;Umnak Island;United States;US;53.366667;-167.9;67;\N;6252001;53.366667, -167.9
TWA;Twin Hills;Twin Hills;United States;US;46.266667;-1.85;67;\N;6252001;46.266667, -1.85
LAR;General Brees Field;Laramie;United States;US;41.316667;-105.666667;67;5830062;6252001;41.316667, -105.666667
