,name,image_path
0,Catherine Missal,/g3fsRgEoMxaqPayIMtGDWERqJ6A.jpg
1,Monica Bellucci,/z3sLuRKP7hQVrvSTsqdLjGSldwG.jpg
2,Michael Doven,/fkHxoBAvAkqHxzoP1ukcbPnaaUi.jpg
3,Jasmine Reate,/qgI4agu15xBlnWkZEVpZhGFsV4Y.jpg
4,Tom Cruise,/3oWEuo0e8Nx8JvkqYCDec2iMY6K.jpg
5,Scarlett Johansson,/f3c1rwcOoeU0v6Ak5loUvMyifR0.jpg
6,Anna Raadsveld,/hNeOrwFVEfjUgRsjSUNU6t1gt2N.jpg
7,Jason Statham,/PhWiWgasncGWD9LdbsGcmxkV4r.jpg
8,Emilia Clarke,/xMIjXRUkxpQs2o5VI3Om3yn6hNV.jpg
9,Wentworth Miller,/z5qjqYgWfZsBrLWWm9jMRSJOtQ2.jpg
10,Dwayne Johnson,/akweMz59qsSoPUJYe7QpjAc2rQp.jpg
11,Rose Byrne,/fOQLAPDvqSDq4ktR7Xk8DIpzGdY.jpg
12,Rachel McAdams,/wqSznVIPp0YDFCuZ9jjbrzDyJhV.jpg
13,Michelle Rodriguez,/v37VK0MNuRuJOCKPKJcZAJXRA5r.jpg
14,Tom Hanks,/a14CNByTYALAPSGlwlmfHILpEIW.jpg
15,Jake Gyllenhaal,/wRgIPBzVzIIhWcdJAduPOKJJHsL.jpg
16,Tom Hardy,/5KwHVwrr982YSsCf4HaSFMLrsYf.jpg
17,Chloë Grace Moretz,/wYaBEV3SOYaJbo6FDKpQW9hlMWt.jpg
18,Johnny Depp,/ctaca3ALycPP0vPhRSYK5DTBEPF.jpg
19,Arnold Schwarzenegger,/3cWGPgdJn1s4O2Rvo6zN7yHkzOe.jpg
20,Sarah Wayne Callies,/1WTsRFbvxU9lOWonAigOO9UCxmY.jpg
21,Vincent Cassel,/yTTyX7xziiMibm0nzcH5z6xxLLv.jpg
22,Lisa Ulliel,/lRMGNruBuRpqyo3sktiMqQMWlTf.jpg
23,Rachel Weisz,/4DMvR5get0liIs7Bi3uTRIIdLkw.jpg
24,Robin Williams,/5KebSMXT8uj2D0gkaMFJ8VEp53.jpg
25,Chris Hemsworth,/kolnZraa1UaD6NS8Ic8guFmOUPZ.jpg
26,Edwige Fenech,/fz85mynMO5i2lyLhQsS2Cg9PCmS.jpg
27,Linda Fiorentino,/16aVa4evfjWiAnM6srkLhWYJlpZ.jpg
28,Robert Downey Jr.,/r7WLn4Kbnqb6oJ8TmSI0e4LkWTj.jpg
29,Alexandra Daddario,/qWy2rdPK3axHvlLV1IUKr6gWLGy.jpg
30,Anthony Hopkins,/wSKCjkfZ90i9vbDwKf0mlvsgdCX.jpg
31,Claudia Koll,/8kROsaY1fu44Xsgxfth8RBwVRYO.jpg
32,Lucy Liu,/cOSycUPBNi49YcPHo4Rf7ROHqCC.jpg
33,Samuel L. Jackson,/dlW6prW9HwYDsIRXNoFYtyHpSny.jpg
34,Kate Beckinsale,/jQoItQzlKokuhWydbwXUGg3i6bX.jpg
35,Jordana Brewster,/dORwXZWWmDgG66I5i2Fnr27g3fO.jpg
36,Ashley Benson,/wIRcYgnVqxZEPzxAXUWFISSoiQg.jpg
37,Charlize Theron,/fG0mtmBm3OsvKFucvoQyqBnVwya.jpg
38,Rosamund Pike,/nOiwKKOZuoB3TC3iiG1GkRzSvay.jpg
39,Christian Bale,/pPXnqoGD91znz4FwQ6aKuxi6Pcy.jpg
40,Jennifer Connelly,/i1jsYTEUoAxLzluDKwXKqheRs0J.jpg
41,Adam Sandler,/tv9V6QsuZ3bcp4ciUJjwjcc4qAg.jpg
42,Paul Walker,/iqvYezRoEY5k8wnlfHriHQfl5dX.jpg
43,Brad Pitt,/kc3M04QQAuZ9woUvH3Ju5T7ZqG5.jpg
44,Amy Adams,/tk5eWJcOBr9uRefeUm9ntvehbLA.jpg
45,Milla Jovovich,/mcNgLarIVho7LheWcvd1oQ2tBOg.jpg
46,Chris Evans,/ueIzur9vURNLoqZCdfWltnpuZTq.jpg
